brand,model,year,price,mileage,fuel_type,transmission
Mercedes,GLA,2011,8594,140263,Diesel,Manual
Volkswagen,Passat,2005,7689,155550,Electric,Semi-Automatic
Kia,Optima,2008,7802,164879,Petrol,Manual
Hyundai,Tucson,2018,9093,160349,Petrol,Manual
Hyundai,Elantra,2007,7084,30793,Diesel,Manual
BMW,3 Series,2019,15065,6745,Electric,Automatic
Toyota,Camry,2007,11635,23217,Hybrid,Manual
Kia,Sportage,2017,9550,242456,Hybrid,Automatic
Hyundai,Sonata,2017,9957,152123,Hybrid,Automatic
Honda,CR-V,2022,10622,248894,Diesel,Automatic
Mercedes,GLA,2007,8970,76458,Electric,Manual
BMW,X5,2017,14059,2020,Hybrid,Semi-Automatic
Hyundai,Sonata,2018,11568,121567,Hybrid,Automatic
Volkswagen,Golf,2023,11710,139477,Petrol,Semi-Automatic
Ford,Fiesta,2007,11638,53088,Electric,Manual
Volkswagen,Tiguan,2020,9388,195565,Petrol,Automatic
Audi,A4,2004,8263,141850,Hybrid,Semi-Automatic
Honda,Civic,2020,10872,191397,Petrol,Manual
Hyundai,Tucson,2015,7009,259533,Electric,Manual
Mercedes,C-Class,2015,10255,197249,Petrol,Automatic
Volkswagen,Passat,2007,6547,272609,Electric,Manual
Toyota,Corolla,2014,13558,17100,Petrol,Automatic
Kia,Optima,2017,9853,197307,Diesel,Manual
BMW,X5,2007,9302,129851,Petrol,Automatic
Audi,Q5,2016,10962,121855,Electric,Semi-Automatic
BMW,3 Series,2011,7841,107928,Petrol,Manual
Volkswagen,Passat,2011,9520,203960,Petrol,Automatic
BMW,5 Series,2009,11454,17260,Electric,Manual
Audi,A3,2022,10997,275109,Electric,Semi-Automatic
Toyota,Corolla,2016,8633,203314,Hybrid,Semi-Automatic
Toyota,Corolla,2014,9795,190214,Hybrid,Automatic
Ford,Explorer,2013,12736,188195,Electric,Automatic
Audi,A4,2010,5535,228204,Hybrid,Manual
BMW,5 Series,2001,5374,66264,Diesel,Semi-Automatic
Toyota,Camry,2022,13946,162696,Electric,Semi-Automatic
Honda,Accord,2001,8220,8958,Diesel,Manual
Hyundai,Elantra,2012,11075,11213,Hybrid,Manual
Honda,Accord,2003,6079,236022,Electric,Semi-Automatic
Chevrolet,Equinox,2019,14433,13333,Hybrid,Semi-Automatic
Mercedes,C-Class,2023,12117,274137,Electric,Semi-Automatic
Volkswagen,Passat,2010,10326,8662,Diesel,Manual
BMW,3 Series,2018,11815,99243,Electric,Semi-Automatic
Ford,Fiesta,2013,9143,167809,Hybrid,Semi-Automatic
Honda,CR-V,2018,9881,180938,Hybrid,Semi-Automatic
Mercedes,C-Class,2018,12173,66347,Petrol,Manual
Chevrolet,Equinox,2013,9531,63430,Petrol,Manual
BMW,3 Series,2014,6565,191744,Petrol,Manual
Mercedes,E-Class,2023,14737,58107,Hybrid,Semi-Automatic
BMW,X5,2002,7464,86763,Diesel,Manual
Volkswagen,Golf,2020,10249,257521,Diesel,Automatic
Toyota,Corolla,2013,7738,213052,Diesel,Manual
BMW,3 Series,2017,8741,117943,Petrol,Semi-Automatic
Volkswagen,Tiguan,2008,9423,178837,Electric,Semi-Automatic
Chevrolet,Malibu,2013,8270,131485,Diesel,Automatic
Audi,A4,2013,13472,21399,Electric,Manual
Mercedes,C-Class,2020,10830,148489,Petrol,Semi-Automatic
Chevrolet,Equinox,2017,10512,189399,Electric,Manual
Volkswagen,Tiguan,2008,6417,179107,Petrol,Semi-Automatic
Volkswagen,Passat,2015,8892,220366,Diesel,Manual
Kia,Optima,2020,12156,132200,Petrol,Manual
Chevrolet,Impala,2009,7075,151249,Diesel,Automatic
Chevrolet,Impala,2009,5106,184695,Petrol,Manual
Volkswagen,Golf,2001,9347,32602,Petrol,Automatic
Audi,A3,2013,8127,253611,Electric,Manual
Toyota,RAV4,2020,11655,187223,Hybrid,Manual
Toyota,Camry,2019,12217,114139,Petrol,Manual
Toyota,RAV4,2004,8511,79437,Electric,Automatic
Honda,Accord,2019,9443,127801,Diesel,Manual
Toyota,Camry,2002,7237,23115,Petrol,Automatic
Kia,Optima,2010,11961,26930,Petrol,Automatic
Toyota,RAV4,2021,6700,289967,Petrol,Manual
Ford,Focus,2001,6758,42064,Petrol,Manual
Hyundai,Sonata,2018,10327,233614,Electric,Manual
Ford,Explorer,2023,17258,67072,Electric,Automatic
BMW,X5,2017,8572,256380,Electric,Manual
Mercedes,C-Class,2010,5809,159546,Petrol,Semi-Automatic
Mercedes,E-Class,2014,13982,5877,Electric,Semi-Automatic
Hyundai,Tucson,2002,11435,33244,Hybrid,Automatic
Chevrolet,Impala,2013,8672,206381,Petrol,Manual
Honda,Civic,2016,10883,175833,Diesel,Automatic
Hyundai,Tucson,2005,6058,157073,Petrol,Semi-Automatic
BMW,3 Series,2015,12364,131766,Electric,Automatic
Ford,Explorer,2001,6227,18630,Petrol,Manual
Audi,A4,2015,11109,54522,Diesel,Automatic
Mercedes,GLA,2013,6774,231290,Electric,Semi-Automatic
Kia,Optima,2000,6464,166776,Electric,Manual
Audi,A3,2002,8373,16302,Diesel,Manual
Audi,Q5,2015,7443,252824,Hybrid,Semi-Automatic
Honda,CR-V,2014,6541,287926,Petrol,Manual
Audi,A3,2001,6836,43196,Petrol,Automatic
Mercedes,C-Class,2011,11682,885,Electric,Semi-Automatic
Honda,Civic,2013,10634,93273,Hybrid,Semi-Automatic
BMW,X5,2004,6781,110947,Diesel,Semi-Automatic
Honda,CR-V,2018,7363,166808,Petrol,Manual
Audi,Q5,2022,12279,186035,Diesel,Automatic
Ford,Fiesta,2005,6223,68819,Hybrid,Semi-Automatic
Chevrolet,Impala,2018,10056,157181,Petrol,Semi-Automatic
Mercedes,C-Class,2007,8153,97350,Petrol,Semi-Automatic
Volkswagen,Passat,2016,6970,271497,Diesel,Manual
Toyota,RAV4,2013,9790,225452,Electric,Semi-Automatic
Kia,Optima,2010,11379,51040,Petrol,Automatic
Volkswagen,Golf,2012,13749,7544,Electric,Semi-Automatic
Chevrolet,Equinox,2009,5111,264411,Hybrid,Semi-Automatic
BMW,X5,2012,8921,153919,Petrol,Manual
Honda,CR-V,2010,6493,115344,Petrol,Manual
Kia,Rio,2009,7564,106781,Diesel,Semi-Automatic
Hyundai,Sonata,2020,11564,11757,Petrol,Manual
Audi,Q5,2014,6084,230787,Petrol,Semi-Automatic
Hyundai,Elantra,2020,11970,216478,Hybrid,Automatic
Mercedes,C-Class,2006,9142,162852,Electric,Manual
BMW,3 Series,2023,13650,112480,Hybrid,Semi-Automatic
Kia,Optima,2017,13384,60780,Electric,Automatic
Honda,CR-V,2012,11969,21520,Diesel,Automatic
BMW,5 Series,2017,8819,199006,Diesel,Automatic
Chevrolet,Equinox,2006,10168,11585,Hybrid,Automatic
Chevrolet,Equinox,2009,10000,79962,Electric,Manual
Volkswagen,Golf,2014,13789,95537,Electric,Automatic
Mercedes,GLA,2021,10102,229873,Diesel,Manual
Chevrolet,Impala,2011,11161,136926,Hybrid,Automatic
Ford,Focus,2003,6499,85005,Petrol,Semi-Automatic
Audi,A4,2017,11955,172248,Electric,Automatic
Volkswagen,Golf,2017,11409,179528,Petrol,Automatic
Hyundai,Sonata,2014,12564,1752,Electric,Manual
Mercedes,GLA,2008,11188,25557,Electric,Manual
BMW,5 Series,2007,8376,211162,Hybrid,Automatic
Audi,A3,2014,10152,182364,Petrol,Automatic
Hyundai,Sonata,2010,7941,112946,Petrol,Automatic
Ford,Focus,2009,7958,122067,Petrol,Automatic
Toyota,RAV4,2008,6065,296747,Electric,Semi-Automatic
BMW,5 Series,2018,11825,23722,Petrol,Semi-Automatic
Ford,Focus,2009,10408,99562,Petrol,Automatic
Kia,Optima,2018,11252,107386,Electric,Manual
Volkswagen,Golf,2021,15240,32991,Diesel,Automatic
Audi,A3,2017,7761,156940,Diesel,Manual
Toyota,Camry,2007,6651,87444,Diesel,Manual
Ford,Focus,2009,8206,114668,Hybrid,Automatic
Toyota,Camry,2017,10056,297176,Electric,Semi-Automatic
Hyundai,Sonata,2011,9720,138965,Hybrid,Semi-Automatic
Volkswagen,Tiguan,2006,6762,251894,Petrol,Automatic
Toyota,Corolla,2006,5208,174551,Diesel,Semi-Automatic
BMW,5 Series,2011,6696,260151,Petrol,Automatic
Mercedes,GLA,2010,8008,99563,Hybrid,Manual
Ford,Fiesta,2014,10341,267949,Electric,Automatic
BMW,X5,2010,10106,79663,Diesel,Manual
Toyota,RAV4,2013,13287,85640,Electric,Automatic
Mercedes,E-Class,2001,11261,1937,Hybrid,Automatic
Ford,Fiesta,2014,7933,253316,Petrol,Automatic
Mercedes,E-Class,2007,5330,203452,Diesel,Semi-Automatic
Hyundai,Elantra,2022,13268,181600,Electric,Manual
Kia,Sportage,2014,5447,262641,Hybrid,Semi-Automatic
Audi,Q5,2023,14760,222000,Electric,Automatic
Ford,Focus,2006,10039,98002,Petrol,Automatic
Kia,Sportage,2000,5861,131933,Hybrid,Manual
Honda,CR-V,2009,5571,201403,Diesel,Manual
BMW,3 Series,2021,9038,263073,Petrol,Manual
Audi,A3,2021,12960,91956,Diesel,Semi-Automatic
Kia,Sportage,2021,8741,197902,Hybrid,Manual
Toyota,RAV4,2006,6250,107474,Diesel,Automatic
BMW,5 Series,2011,6439,178039,Diesel,Automatic
BMW,5 Series,2009,12607,84645,Electric,Automatic
Kia,Optima,2020,12829,118504,Hybrid,Semi-Automatic
Honda,Accord,2009,5155,217224,Petrol,Manual
Toyota,Camry,2002,6439,118041,Petrol,Automatic
Audi,A4,2020,10660,186962,Diesel,Semi-Automatic
Mercedes,GLA,2023,12720,78961,Electric,Semi-Automatic
Toyota,RAV4,2019,8658,232074,Petrol,Automatic
Ford,Explorer,2001,7929,38542,Electric,Manual
BMW,X5,2010,5598,295058,Diesel,Automatic
Toyota,Camry,2013,5954,262285,Hybrid,Manual
Ford,Explorer,2008,7883,225838,Electric,Semi-Automatic
Chevrolet,Equinox,2023,11884,230795,Hybrid,Automatic
Chevrolet,Malibu,2008,7105,94729,Petrol,Manual
Mercedes,C-Class,2022,9656,282199,Petrol,Automatic
Mercedes,C-Class,2004,5462,191859,Diesel,Manual
Kia,Sportage,2021,13017,74107,Electric,Semi-Automatic
Volkswagen,Golf,2019,9080,230974,Petrol,Manual
BMW,5 Series,2016,9477,56150,Petrol,Manual
Mercedes,C-Class,2010,6678,256100,Diesel,Semi-Automatic
Volkswagen,Golf,2006,10909,9512,Hybrid,Automatic
Audi,A3,2011,12095,80241,Petrol,Automatic
Audi,A4,2021,12085,150713,Diesel,Semi-Automatic
Audi,Q5,2018,9059,207019,Electric,Semi-Automatic
Audi,A3,2023,10939,163039,Petrol,Semi-Automatic
Hyundai,Elantra,2017,9516,269154,Diesel,Automatic
Kia,Sportage,2010,8158,62065,Petrol,Manual
Audi,Q5,2023,11846,52679,Diesel,Manual
Toyota,Camry,2014,5744,177766,Petrol,Manual
Honda,Civic,2007,6636,158154,Electric,Manual
Chevrolet,Impala,2021,14158,52051,Electric,Automatic
Toyota,Camry,2023,10159,117049,Diesel,Manual
Hyundai,Sonata,2010,5499,260006,Hybrid,Semi-Automatic
Kia,Optima,2009,7458,222076,Electric,Automatic
Ford,Focus,2013,8580,145970,Diesel,Automatic
Ford,Fiesta,2011,10684,30785,Hybrid,Automatic
Audi,Q5,2015,11156,57196,Diesel,Semi-Automatic
Kia,Sportage,2019,12786,50680,Diesel,Semi-Automatic
Honda,Civic,2019,8536,273193,Petrol,Manual
Hyundai,Elantra,2003,7010,169451,Hybrid,Semi-Automatic
BMW,X5,2020,10076,286174,Electric,Automatic
Chevrolet,Malibu,2004,5345,242712,Diesel,Manual
Hyundai,Elantra,2014,9152,227371,Electric,Manual
Toyota,Corolla,2005,9702,29885,Petrol,Automatic
Volkswagen,Tiguan,2008,5570,261478,Diesel,Semi-Automatic
Kia,Optima,2010,6383,170847,Petrol,Automatic
BMW,X5,2001,8755,87221,Electric,Semi-Automatic
Mercedes,C-Class,2014,6840,217980,Petrol,Manual
Volkswagen,Passat,2010,13274,71288,Electric,Automatic
BMW,5 Series,2016,11578,91092,Diesel,Manual
Honda,Civic,2020,14001,24913,Petrol,Semi-Automatic
Kia,Sportage,2000,6191,155444,Hybrid,Semi-Automatic
Mercedes,E-Class,2014,9366,171683,Electric,Semi-Automatic
Honda,CR-V,2015,8991,295428,Diesel,Automatic
Volkswagen,Golf,2010,8352,207380,Petrol,Automatic
Mercedes,C-Class,2012,10915,89226,Electric,Automatic
BMW,3 Series,2001,8415,79217,Hybrid,Manual
Mercedes,E-Class,2010,5940,297971,Diesel,Automatic
Ford,Fiesta,2011,7321,178950,Diesel,Semi-Automatic
Audi,A3,2017,13122,148880,Electric,Automatic
Honda,Accord,2013,9221,23936,Petrol,Semi-Automatic
Audi,Q5,2002,7438,68076,Electric,Manual
Chevrolet,Malibu,2015,10105,144743,Diesel,Automatic
Kia,Rio,2014,10894,90279,Diesel,Semi-Automatic
Audi,A3,2018,10871,56429,Diesel,Semi-Automatic
Audi,A3,2014,12676,1197,Diesel,Automatic
Mercedes,C-Class,2021,9796,200177,Petrol,Automatic
Chevrolet,Malibu,2022,13586,5679,Diesel,Manual
BMW,3 Series,2011,11408,14586,Hybrid,Manual
Chevrolet,Impala,2011,8316,39156,Diesel,Manual
Volkswagen,Golf,2010,12239,68014,Electric,Semi-Automatic
Ford,Focus,2008,6362,126868,Petrol,Manual
Mercedes,E-Class,2010,6927,258632,Electric,Manual
Ford,Fiesta,2021,11676,201170,Hybrid,Semi-Automatic
Audi,A3,2019,13428,13569,Hybrid,Manual
BMW,3 Series,2020,8373,191301,Diesel,Semi-Automatic
Kia,Sportage,2002,5711,169424,Petrol,Semi-Automatic
BMW,X5,2010,8739,63026,Petrol,Manual
Chevrolet,Malibu,2001,8287,145630,Electric,Semi-Automatic
Audi,Q5,2003,9319,44024,Diesel,Automatic
Audi,Q5,2022,11441,122902,Electric,Manual
Audi,A3,2012,11846,92692,Electric,Semi-Automatic
Chevrolet,Equinox,2020,14052,22360,Petrol,Automatic
Mercedes,E-Class,2018,11828,53596,Diesel,Manual
Honda,Accord,2000,8785,45737,Electric,Semi-Automatic
Kia,Sportage,2020,13636,98160,Hybrid,Automatic
Chevrolet,Impala,2018,8425,253702,Petrol,Manual
Ford,Explorer,2006,6505,94715,Hybrid,Semi-Automatic
Volkswagen,Passat,2005,6963,1841,Diesel,Semi-Automatic
Kia,Optima,2021,9819,109050,Diesel,Semi-Automatic
BMW,5 Series,2008,7162,236894,Hybrid,Semi-Automatic
Toyota,Corolla,2016,11666,256691,Electric,Automatic
Mercedes,C-Class,2003,8638,88089,Hybrid,Manual
Honda,CR-V,2007,10295,160230,Electric,Automatic
Chevrolet,Equinox,2015,8559,117006,Hybrid,Semi-Automatic
Chevrolet,Impala,2019,7311,299406,Hybrid,Manual
Ford,Explorer,2011,5156,182197,Petrol,Semi-Automatic
Volkswagen,Tiguan,2015,7286,235687,Electric,Semi-Automatic
Audi,A3,2008,8402,79861,Diesel,Manual
Mercedes,C-Class,2020,6240,288000,Petrol,Semi-Automatic
Kia,Rio,2022,7882,295898,Diesel,Automatic
Honda,CR-V,2016,14648,7588,Petrol,Automatic
Volkswagen,Tiguan,2002,6557,152117,Diesel,Automatic
Kia,Sportage,2019,10294,195296,Petrol,Manual
Chevrolet,Impala,2006,7965,191716,Diesel,Automatic
Honda,Civic,2014,8772,106397,Diesel,Automatic
Volkswagen,Passat,2007,5989,295514,Electric,Manual
Kia,Sportage,2001,5347,232603,Hybrid,Automatic
Mercedes,E-Class,2000,6237,18150,Diesel,Manual
Toyota,Corolla,2016,11416,59160,Petrol,Manual
Chevrolet,Equinox,2016,9724,73775,Petrol,Semi-Automatic
Mercedes,E-Class,2007,10305,89733,Electric,Automatic
Hyundai,Tucson,2002,7071,11401,Petrol,Semi-Automatic
Chevrolet,Impala,2019,9530,233465,Diesel,Semi-Automatic
Volkswagen,Golf,2016,8382,240885,Petrol,Semi-Automatic
Mercedes,GLA,2006,10899,25049,Electric,Semi-Automatic
Chevrolet,Equinox,2003,5791,110430,Hybrid,Semi-Automatic
Hyundai,Elantra,2018,11081,205909,Electric,Semi-Automatic
Ford,Explorer,2011,6561,161912,Hybrid,Semi-Automatic
Mercedes,C-Class,2002,9703,54815,Hybrid,Automatic
Hyundai,Elantra,2019,12527,128619,Electric,Manual
Honda,Civic,2019,12371,121403,Hybrid,Manual
Toyota,Corolla,2019,10938,253093,Electric,Semi-Automatic
Chevrolet,Malibu,2022,13542,97890,Petrol,Semi-Automatic
Toyota,Camry,2016,6950,157466,Diesel,Manual
Kia,Rio,2004,5535,168226,Petrol,Semi-Automatic
Ford,Focus,2015,11488,50573,Electric,Manual
Volkswagen,Tiguan,2006,6115,219205,Electric,Manual
Hyundai,Elantra,2008,12665,1708,Electric,Automatic
Kia,Rio,2012,7911,244437,Petrol,Automatic
Kia,Sportage,2016,10318,134097,Electric,Manual
Ford,Fiesta,2010,7226,98700,Hybrid,Manual
Mercedes,E-Class,2018,10531,78445,Hybrid,Manual
Chevrolet,Equinox,2001,7137,93140,Hybrid,Semi-Automatic
Hyundai,Sonata,2009,6541,282931,Hybrid,Semi-Automatic
Volkswagen,Passat,2023,11659,242006,Hybrid,Automatic
Kia,Optima,2006,6051,272450,Hybrid,Manual
Kia,Sportage,2002,9500,54982,Petrol,Automatic
Chevrolet,Malibu,2003,5120,53980,Diesel,Semi-Automatic
Ford,Explorer,2019,10714,84291,Hybrid,Semi-Automatic
Audi,A3,2020,11718,54068,Hybrid,Semi-Automatic
BMW,5 Series,2010,9666,1666,Petrol,Automatic
Honda,Accord,2000,7825,128713,Electric,Automatic
Toyota,Camry,2004,6597,155101,Diesel,Automatic
Volkswagen,Passat,2002,6235,153222,Diesel,Automatic
BMW,3 Series,2004,7494,140269,Electric,Semi-Automatic
Toyota,Corolla,2022,15839,48034,Diesel,Automatic
Honda,Accord,2007,7446,197700,Electric,Automatic
Ford,Focus,2020,9780,130961,Hybrid,Manual
Volkswagen,Tiguan,2009,6212,204370,Electric,Semi-Automatic
Ford,Explorer,2005,5420,103956,Diesel,Semi-Automatic
Chevrolet,Equinox,2004,8577,86109,Electric,Manual
Honda,Accord,2019,13378,1068,Petrol,Automatic
Hyundai,Elantra,2004,7858,202084,Electric,Automatic
BMW,3 Series,2012,10636,78159,Petrol,Semi-Automatic
Kia,Optima,2012,10135,188249,Electric,Automatic
Audi,A4,2021,8954,252284,Diesel,Semi-Automatic
Mercedes,C-Class,2011,9799,120010,Diesel,Manual
Mercedes,GLA,2007,9456,77167,Petrol,Semi-Automatic
Audi,Q5,2021,8873,226346,Diesel,Semi-Automatic
Toyota,Camry,2014,13196,35164,Diesel,Automatic
Ford,Explorer,2015,11951,147409,Electric,Manual
Ford,Fiesta,2016,6657,292131,Diesel,Manual
Kia,Rio,2016,8282,285860,Electric,Automatic
Audi,A3,2005,7643,112828,Electric,Manual
Audi,Q5,2023,10998,225090,Hybrid,Semi-Automatic
Kia,Rio,2007,12527,18622,Electric,Manual
Honda,Civic,2001,7423,38814,Electric,Semi-Automatic
Volkswagen,Golf,2001,5419,64027,Diesel,Manual
Kia,Rio,2013,8581,155927,Hybrid,Manual
Ford,Focus,2014,10267,91618,Diesel,Semi-Automatic
Ford,Focus,2006,8524,213796,Hybrid,Automatic
Hyundai,Elantra,2008,8152,242378,Electric,Semi-Automatic
Kia,Optima,2015,12634,68256,Electric,Manual
Honda,CR-V,2012,14507,4608,Electric,Manual
Ford,Fiesta,2014,11256,262198,Electric,Automatic
Hyundai,Elantra,2014,7928,203553,Petrol,Semi-Automatic
Ford,Focus,2010,12641,42902,Hybrid,Automatic
Audi,A4,2020,14564,116761,Electric,Manual
Mercedes,C-Class,2015,7673,181326,Diesel,Manual
Ford,Explorer,2008,6866,286699,Electric,Manual
Toyota,RAV4,2013,11306,149662,Hybrid,Automatic
Volkswagen,Tiguan,2019,10234,213300,Petrol,Semi-Automatic
Toyota,RAV4,2015,8090,125458,Diesel,Manual
Hyundai,Sonata,2011,8673,61333,Petrol,Manual
BMW,X5,2009,12033,103338,Electric,Automatic
Hyundai,Elantra,2019,14300,44978,Electric,Automatic
Honda,Accord,2002,8306,119657,Electric,Automatic
Ford,Explorer,2003,7069,106537,Electric,Manual
Honda,Accord,2005,5832,228351,Electric,Manual
Mercedes,C-Class,2022,9627,233628,Diesel,Manual
Chevrolet,Malibu,2023,7384,280794,Diesel,Manual
Kia,Rio,2005,7918,14058,Diesel,Semi-Automatic
Audi,A3,2018,8311,274434,Hybrid,Semi-Automatic
Chevrolet,Equinox,2015,12091,60419,Diesel,Automatic
BMW,X5,2021,13427,98604,Petrol,Semi-Automatic
Volkswagen,Golf,2023,11431,133425,Petrol,Automatic
Hyundai,Tucson,2004,5063,271816,Hybrid,Manual
Mercedes,GLA,2019,7750,247451,Petrol,Semi-Automatic
Ford,Fiesta,2014,11282,85892,Petrol,Semi-Automatic
Ford,Explorer,2006,5947,252610,Electric,Semi-Automatic
Audi,A4,2020,6742,282883,Hybrid,Manual
BMW,5 Series,2020,11614,109271,Hybrid,Semi-Automatic
Mercedes,GLA,2018,11608,119566,Hybrid,Automatic
Ford,Focus,2009,8717,54105,Diesel,Manual
Honda,CR-V,2020,11436,103185,Hybrid,Manual
Chevrolet,Impala,2010,5340,227999,Hybrid,Manual
Hyundai,Elantra,2022,9989,250524,Diesel,Automatic
BMW,5 Series,2012,7629,163543,Petrol,Automatic
Audi,A4,2021,7428,283597,Petrol,Manual
Kia,Rio,2021,13911,79401,Petrol,Automatic
Ford,Fiesta,2007,9084,125769,Electric,Manual
Hyundai,Sonata,2009,9558,67077,Diesel,Manual
Hyundai,Sonata,2007,8974,76257,Electric,Manual
Ford,Focus,2010,7390,220484,Electric,Automatic
Toyota,Camry,2010,8693,155338,Petrol,Semi-Automatic
Volkswagen,Tiguan,2006,9796,135166,Electric,Automatic
Ford,Fiesta,2009,10247,22624,Petrol,Automatic
Audi,A3,2002,8264,106780,Hybrid,Automatic
Mercedes,C-Class,2017,12690,40455,Electric,Semi-Automatic
Honda,CR-V,2015,9519,164031,Electric,Manual
Mercedes,GLA,2018,14623,108824,Hybrid,Automatic
Honda,CR-V,2001,7349,67506,Petrol,Semi-Automatic
Mercedes,C-Class,2013,8025,198747,Hybrid,Automatic
Honda,CR-V,2004,6313,189304,Electric,Automatic
Audi,A3,2019,9469,171550,Diesel,Semi-Automatic
Chevrolet,Malibu,2011,14703,49802,Electric,Automatic
Kia,Rio,2006,12149,32528,Electric,Manual
Hyundai,Tucson,2010,9942,37887,Diesel,Semi-Automatic
Kia,Optima,2003,5139,243023,Electric,Automatic
Ford,Fiesta,2011,11399,125014,Petrol,Automatic
BMW,X5,2007,7193,225309,Electric,Automatic
Volkswagen,Golf,2012,10801,19946,Electric,Semi-Automatic
Toyota,RAV4,2016,11714,34256,Electric,Semi-Automatic
BMW,X5,2007,9333,48326,Electric,Manual
Chevrolet,Impala,2018,15458,22059,Hybrid,Automatic
BMW,5 Series,2016,11848,82589,Petrol,Automatic
Mercedes,GLA,2005,5005,254719,Hybrid,Manual
Volkswagen,Tiguan,2012,10049,22534,Diesel,Manual
Audi,A4,2009,9986,105672,Electric,Semi-Automatic
Ford,Focus,2013,9815,184223,Electric,Manual
Ford,Fiesta,2012,13261,66901,Electric,Automatic
Toyota,Camry,2014,5542,277899,Petrol,Semi-Automatic
Hyundai,Elantra,2010,10724,93756,Hybrid,Manual
Mercedes,GLA,2005,9700,159958,Electric,Automatic
Hyundai,Tucson,2020,11697,130146,Petrol,Automatic
Audi,Q5,2017,8914,184285,Petrol,Semi-Automatic
Ford,Explorer,2005,10399,40020,Electric,Automatic
Volkswagen,Tiguan,2017,11969,201512,Electric,Automatic
Kia,Sportage,2014,5992,180373,Diesel,Semi-Automatic
Toyota,Corolla,2014,10712,114382,Petrol,Semi-Automatic
Mercedes,C-Class,2007,5826,118689,Petrol,Semi-Automatic
Kia,Sportage,2017,9608,149589,Diesel,Manual
Audi,A4,2022,12408,84573,Electric,Manual
Hyundai,Sonata,2002,6140,122979,Petrol,Automatic
Audi,A4,2018,7499,180019,Diesel,Manual
BMW,3 Series,2001,6940,107974,Diesel,Semi-Automatic
Mercedes,GLA,2003,7852,17393,Hybrid,Semi-Automatic
Ford,Fiesta,2001,8998,74,Electric,Semi-Automatic
Toyota,Corolla,2014,8684,215776,Electric,Automatic
Volkswagen,Golf,2022,15491,15423,Hybrid,Semi-Automatic
